Customer Key,Customer,Bill To Customer,Category,Buying Group,Primary Contact,Postal Code,State Key
31,"Tailspin Toys (Lake Stevens, WA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Kimberly Pace,90394,47
32,"Tailspin Toys (Maypearl, TX)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Nikolajs Kalejs,90087,43
33,"Tailspin Toys (Boyden Arbor, SC)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Haasini Rai,90497,40
34,"Tailspin Toys (Dallardsville, TX)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Anjali Asthana,90041,43
35,"Tailspin Toys (Slanesville, WV)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Shah Omidi,90601,48
36,"Tailspin Toys (Ekron, KY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Ferhat Celik,90603,17
37,"Tailspin Toys (Kerby, OR)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Dayarama Kamei,90686,37
38,"Tailspin Toys (Airport Drive, MO)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Nils Kalnins,90211,25
39,"Tailspin Toys (Diablock, KY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Ashish Acharya,90158,17
40,"Tailspin Toys (Impact, TX)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Alena Prikrylova,90326,43
41,"Tailspin Toys (Olivette, MO)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Lana Rozej,90042,25
42,"Tailspin Toys (Arietta, NY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Chandrakanta Raut,90124,32
43,"Tailspin Toys (Upper Preston, WA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Ganapati Gadiyaram,90687,47
44,"Tailspin Toys (Amanda Park, WA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Adrijana Blagojevic,90258,47
45,"Tailspin Toys (Severna Park, MD)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Lap Dinh,90326,20
46,"Tailspin Toys (Jemison, AL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Didem ozCelik,90683,1
47,"Tailspin Toys (Lake Hughes, CA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Serhat Akbulut,90358,5
48,"Tailspin Toys (Trentwood, WA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Daniela Barrios,90615,47
49,"Tailspin Toys (Muir, MI)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Julia Slobodova,90717,22
50,"Tailspin Toys (Hambleton, WV)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Marcela Jankova,90087,48
51,"Tailspin Toys (Imlaystown, NJ)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Dipali Sonkar,90051,30
52,"Tailspin Toys (Idria, CA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Bansidhar Mitra,90556,5
53,"Tailspin Toys (Nanafalia, AL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Gunnar Persson,90783,1
54,"Tailspin Toys (Railroad, PA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Vitezslav Rehak,90586,38
55,"Tailspin Toys (Gum Branch, GA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Bharat Sikdar,90559,10
56,"Tailspin Toys (Royal City, WA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Juan Bezanson,90398,47
57,"Tailspin Toys (Lakemore, OH)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Aile Mae,90347,35
58,"Tailspin Toys (Mappsburg, VA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Pratap Varghese,90678,46
59,"Tailspin Toys (Edgartown, MA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Margita Kopecka,90684,21
60,"Tailspin Toys (East Dailey, WV)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Lekha Mitra,90548,48
61,"Tailspin Toys (Fairfield Glade, TN)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Abhoy Prabhupāda,90050,42
62,"Tailspin Toys (Great Neck Estates, NY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Alida Caune,90240,32
63,"Tailspin Toys (Stallion Springs, CA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Agnes Szolosy,90076,5
64,"Tailspin Toys (Hodgdon, ME)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Rohana Kaskar,90673,19
65,"Tailspin Toys (North Cowden, TX)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Hanuman Dubey,90406,43
66,"Tailspin Toys (Madaket, MA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Bao Dao,90614,21
67,"Tailspin Toys (Sentinel Butte, ND)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Preyakshna Aluri,90422,34
68,"Tailspin Toys (Gardere, LA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Valentina Conti,90136,18
69,"Tailspin Toys (Lytle Creek, CA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Theodore Saucier,90795,5
70,"Tailspin Toys (New Baden, IL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Mariana Fierro,90235,13
71,"Tailspin Toys (Good Hart, MI)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Afshin Djalili,90466,22
72,"Tailspin Toys (Cortaro, AZ)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Bianh Phan,90351,3
73,"Tailspin Toys (Cokato, MN)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Koknesis Vitols,90311,23
74,"Tailspin Toys (Indios, PR)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Roxane Rastgu,90193,39
75,"Tailspin Toys (Windsor Locks, CT)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Vlasta Srbova,90456,7
76,"Tailspin Toys (Yewed, OK)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Lata Babu,90308,36
77,"Tailspin Toys (Hahira, GA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Airi Vassiljev,90706,10
78,"Tailspin Toys (Sekiu, WA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Duleep Walia,90686,47
79,"Tailspin Toys (Page City, KS)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Matyas Macek,90316,16
80,"Tailspin Toys (Valdese, NC)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Bharat Ankitham,90541,33
81,"Tailspin Toys (Big Moose, NY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Vera Kubatova,90798,32
82,"Tailspin Toys (La Cueva, NM)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Rakesh Nishad,90253,31
83,"Tailspin Toys (Absecon, NJ)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Sang Tran,90540,30
84,"Tailspin Toys (Aceitunas, PR)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Eekalabya Bose,90213,39
85,"Tailspin Toys (Andrix, CO)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Tommy Kilpi,90653,6
86,"Tailspin Toys (New Lexington, OH)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Andrea Ricci,90637,35
87,"Tailspin Toys (Sauquoit, NY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Isabell  Duperre,90199,32
88,"Tailspin Toys (Dracut, MA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Amarendra Ankitham,90519,21
89,"Tailspin Toys (Victory Gardens, NJ)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Aakarsha Nookala,90461,30
90,"Tailspin Toys (Tolna, ND)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Stanislav Sedlar,90089,34
91,"Tailspin Toys (Alstead, NH)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,GokCe Karaca,90073,29
92,"Tailspin Toys (Sans Souci, SC)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Coralie Emond,90553,40
93,"Tailspin Toys (Clewiston, FL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Karina Celmina,90354,9
94,"Tailspin Toys (Cheyenne Wells, CO)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Teresa Pisani,90449,6
95,"Tailspin Toys (Lavon, TX)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Alba Ponce,90310,43
96,"Tailspin Toys (South La Paloma, TX)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Piper Leigh,90792,43
97,"Tailspin Toys (Manchester Center, VT)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Karie Seymour,90179,45
98,"Tailspin Toys (El Centro, CA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Timea Peto,90573,5
99,"Tailspin Toys (Guin, AL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Victoria Ene,90779,1
100,"Tailspin Toys (Tunnelhill, PA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Bhavani Bhowmick,90788,38
101,"Tailspin Toys (Cundiyo, NM)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Yasmine Berggren,90515,31
102,"Tailspin Toys (Fieldbrook, CA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Tea Koppel,90205,5
103,"Tailspin Toys (Kalvesta, KS)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Naseem Radan,90130,16
104,"Tailspin Toys (Wallagrass, ME)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Laboni Deb,90579,19
105,"Tailspin Toys (Tomnolen, MS)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Sung-Hwan Hwang,90400,24
106,"Tailspin Toys (Tumacacori, AZ)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Shiva Pipalia,90662,3
107,"Tailspin Toys (Glen Avon, CA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Karie Mercier,90782,5
108,"Tailspin Toys (Bernie, MO)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Bhanu Thota,90045,25
109,"Tailspin Toys (South Laguna, CA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Ae-Cha Joo,90247,5
110,"Tailspin Toys (North Crows Nest, IN)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Dinara Saparkyzy,90792,14
111,"Tailspin Toys (Oriole Beach, FL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Adam Dvorak,90436,9
112,"Tailspin Toys (Sallyards, KS)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Ingrida Celmina,90706,16
113,"Tailspin Toys (Dahlia, NM)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Jae-Hwa Jang,90264,31
114,"Tailspin Toys (Cherry Grove Beach, SC)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Duck-Hwan Bae,90146,40
115,"Tailspin Toys (Bethania, NC)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Jagoda Vasiljevic,90368,33
116,"Tailspin Toys (Rafael Cap�, PR)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Toma Nastase,90685,39
117,"Tailspin Toys (Scofield, UT)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Valerio Cardoso,90237,44
118,"Tailspin Toys (Vassalboro, ME)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Ileana Aguilar,90546,19
119,"Tailspin Toys (Statenville, GA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Tjasa Weitzer,90504,10
120,"Tailspin Toys (Bratenahl, OH)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Lucas Van Veenen,90154,35
121,"Tailspin Toys (Elrosa, MN)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Steven Frasier,90079,23
122,"Tailspin Toys (McClave, CO)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Mauri Enestam,90439,6
123,"Tailspin Toys (Roe Park, NY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Ella Zvirbule,90775,32
124,"Tailspin Toys (Hanoverton, OH)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Sevim Aydın,90770,35
125,"Tailspin Toys (Annamoriah, WV)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Blanka Stavinohova,90485,48
126,"Tailspin Toys (Francis Mills, NJ)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Akanksha Iyengar,90743,30
127,"Tailspin Toys (Point Roberts, WA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Kertu Smirnov,90504,47
128,"Tailspin Toys (East Portal, CO)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Jure Grabensek,90432,6
129,"Tailspin Toys (Mineral Hills, MI)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Javiera Madera,90442,22
130,"Tailspin Toys (Maple Shade, NJ)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Aija Mottola,90549,30
131,"Tailspin Toys (Kwethluk, AK)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Darshan Gupta,90759,2
132,"Tailspin Toys (Minidoka, ID)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Akanksha Sarma,90324,12
133,"Tailspin Toys (Lake Erie Beach, NY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Aino Kallas,90186,32
134,"Tailspin Toys (Tavares, FL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,An Dung Phung,90467,9
135,"Tailspin Toys (Terre du Lac, MO)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Gaurav Sikdar,90145,25
136,"Tailspin Toys (Mount Montgomery, NV)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Anirban Sen,90302,28
137,"Tailspin Toys (Carbonville, UT)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Chandrakanta Benjaree,90339,44
138,"Tailspin Toys (Navassa, NC)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Badari Chadalavada,90535,33
139,"Tailspin Toys (Hardeeville, SC)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Gabriele Udinesi,90005,40
140,"Tailspin Toys (Furley, KS)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Malay Prabhupāda,90416,16
141,"Tailspin Toys (Arrow Rock, MO)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Hedi Koppel,90639,25
142,"Tailspin Toys (King Cove, AK)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Denisa Ioveanu,90457,2
143,"Tailspin Toys (Ashtabula, OH)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Vaclav Polaskova,90119,35
144,"Tailspin Toys (Larose, LA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Pramod Nishad,90342,18
145,"Tailspin Toys (Manahawkin, NJ)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Prasong Tuntayakul,90686,30
146,"Tailspin Toys (Belgreen, AL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Aija Zvaigzne,90735,1
147,"Tailspin Toys (Fishtail, MT)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Gilbert Pelland,90432,26
148,"Tailspin Toys (Baraboo, WI)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Marcella Napolitani,90165,49
149,"Tailspin Toys (Inguadona, MN)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Femke Hollenberg,90245,23
150,"Tailspin Toys (Corfu, NY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Brita Jarvi,90690,32
151,"Tailspin Toys (Antares, AZ)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Donato Araujo,90385,3
152,"Tailspin Toys (Sun River, MT)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Aleksander Jarvi,90309,26
153,"Tailspin Toys (Marcell, MN)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Malati Shenoy,90729,23
154,"Tailspin Toys (Eden Valley, MN)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Gui-Hyun Ji,90367,23
155,"Tailspin Toys (Arbor Vitae, WI)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Michal Polaskova,90333,49
156,"Tailspin Toys (Hollywood Park, TX)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Dilara Ayhan,90405,43
157,"Tailspin Toys (Saks, AL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Peter Macias,90362,1
158,"Tailspin Toys (Donner, LA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Kurt Lukes,90567,18
159,"Tailspin Toys (Saint Louis Park, MN)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Beatrise Bite,90401,23
160,"Tailspin Toys (Crary, ND)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Bishwanath Ghosh,90248,34
161,"Tailspin Toys (Aspen Park, CO)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Gianguido Lucchesi,90644,6
162,"Tailspin Toys (Glen Park, NY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Nu Bach,90026,32
163,"Tailspin Toys (Panaca, NV)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Ivonna Ene,90297,28
164,"Tailspin Toys (Rothsville, PA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Ceyhun sahin,90538,38
165,"Tailspin Toys (Topstone, CT)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Tian Peng,90675,7
166,"Tailspin Toys (McCamey, TX)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Vlastimil Bohuslav,90434,43
167,"Tailspin Toys (Rockwall, TX)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Nejc Vosnik,90294,43
168,"Tailspin Toys (Seagraves, TX)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Anindo Mazumdar,90453,43
169,"Tailspin Toys (Sinclair, WY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Nils Balodis,90401,50
170,"Tailspin Toys (Eastchester, NY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Daniella Barbosa,90031,32
171,"Tailspin Toys (Ortley Beach, NJ)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Raymond Levesque,90179,30
172,"Tailspin Toys (Madrone, NM)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Raymond Desforges,90617,31
173,"Tailspin Toys (Wappingers Falls, NY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Raju Atluri,90681,32
174,"Tailspin Toys (Astor Park, FL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Matyas Bohuslav,90179,9
175,"Tailspin Toys (San Acacia, NM)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Julio Correa,90445,31
176,"Tailspin Toys (Malott, WA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Banshari De,90015,47
177,"Tailspin Toys (Orrtanna, PA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Ngai Lam,90008,38
178,"Tailspin Toys (Armstrong Creek, WI)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Hyun-Doo Song,90397,49
179,"Tailspin Toys (Hiteman, IA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Gabriela Srbova,90212,15
180,"Tailspin Toys (Caselton, NV)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Serkan senturk,90747,28
181,"Tailspin Toys (Heilwood, PA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Aahlada Thota,90300,38
182,"Tailspin Toys (Hayes Center, NE)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Ayberk sahin,90352,27
183,"Tailspin Toys (Tierra Verde, FL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Kaan Tekin,90195,9
184,"Tailspin Toys (South Euclid, OH)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Lata Khandke,90551,35
185,"Tailspin Toys (Vidrine, LA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Truman Eder,90272,18
186,"Tailspin Toys (Placer, OR)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Lorraine Paulet,90628,37
187,"Tailspin Toys (Brown City, MI)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Biplab De,90503,22
188,"Tailspin Toys (Premont, TX)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Rachelle Brasseur,90375,43
189,"Tailspin Toys (Wilkes-Barre, PA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Sara Charlton,90766,38
190,"Tailspin Toys (Teutopolis, IL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Ramesh Mukherjee,90591,13
191,"Tailspin Toys (Orchard Hill, GA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Ester Ahmadian,90698,10
192,"Tailspin Toys (Optimo, NM)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Daniel Magnusson,90080,31
193,"Tailspin Toys (Knifley, KY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Jack Carpenter,90298,17
194,"Tailspin Toys (Naples Park, FL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Thomas Fischer,90386,9
195,"Tailspin Toys (Lesslie, SC)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Viollette Monty,90771,40
196,"Tailspin Toys (Howells, NE)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Alinne Cardoso,90444,27
197,"Tailspin Toys (Magalia, CA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Mani Poddar,90226,5
198,"Tailspin Toys (Buell, MO)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Deakshitulu Mokkapati,90113,25
199,"Tailspin Toys (Antonito, CO)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Cezar Pavel,90346,6
200,"Tailspin Toys (Tooele, UT)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Fanni Benko,90100,44
201,"Tailspin Toys (Skyway, WA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Brenda Morgan,90588,47
202,Wingtip Toys (Head Office),Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Olga Alexandrova,90625,6
203,"Wingtip Toys (Black Lick, PA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Maris Baltins,90477,38
204,"Wingtip Toys (Queen Valley, AZ)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Parsa Reuser,90588,3
205,"Wingtip Toys (Penns Creek, PA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Duleep Srivastava,90195,38
